GIX6-707-MONOMER	GIX6-707	Q04L97	4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis protein	
GIX6-1030-MONOMER	GIX6-1030	Q04KE4	dihydroorotase	PyrC
GIX6-1829-MONOMER	GIX6-1829	Q04IF2	GntR family transcriptional regulator protein	
GIX6-1105-MONOMER	GIX6-1105	Q04K72	ribonuclease III	Rnc
GIX6-357-MONOMER	GIX6-357	Q04M80	choline binding protein F	CbpF
GIX6-1737-MONOMER	GIX6-1737	Q04IM8	autolysin/N-acetylmuramoyl-L-alanine amidase	LytA
GIX6-764-MONOMER	GIX6-764	Q04L47	cysteine desulfurase SufS subfamily protein	SufS
GIX6-1029-MONOMER	GIX6-1029	Q04KE5	MATE efflux family protein	
GIX6-1104-MONOMER	GIX6-1104	Q04K73	chromosome segregation protein SMC	Smc
GIX6-1736-MONOMER	GIX6-1736	Q04IM9	orf	
GIX6-298-MONOMER	GIX6-298	Q04MD3	preprotein translocase subunit YajC	
GIX6-706-MONOMER	GIX6-706	Q04L98	rod shape-determining protein RodA	
GIX6-1735-MONOMER	GIX6-1735	Q04IN0	orf	
GIX6-1028-MONOMER	GIX6-1028	Q04KE6	TPP-dependent acetoin dehydrogenase subunit alpha	AcoA
GIX6-297-MONOMER	GIX6-297	Q04MD4	PTS system transporter subunit IID	
GIX6-1734-MONOMER	GIX6-1734	Q04IN1	orf	
GIX6-1027-MONOMER	GIX6-1027	Q04KE7	acetoin dehydrogenase, E1 component subunit beta	
GIX6-705-MONOMER	GIX6-705	Q04L99	bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon	
GIX6-1733-MONOMER	GIX6-1733	Q04IN2	orf	
GIX6-296-MONOMER	GIX6-296	Q04MD5	PTS system transporter subunit IIC	
GIX6-1732-MONOMER	GIX6-1732	Q04IN3	orf	
GIX6-1026-MONOMER	GIX6-1026	Q04KE8	dihydrolipoamide acetyltransferase	
GIX6-295-MONOMER	GIX6-295	Q04MD6	PTS system transporter subunit IIB	
GIX6-704-MONOMER	GIX6-704	Q04LA0	orf	
GIX6-1731-MONOMER	GIX6-1731	Q04IN4	orf	
GIX6-1025-MONOMER	GIX6-1025	Q04KE9	dihydrolipoamide dehydrogenase	LpdA
GIX6-703-MONOMER	GIX6-703	Q04LA1	orf	
GIX6-1729-MONOMER	GIX6-1729	Q04IN5	orf	
GIX6-294-MONOMER	GIX6-294	Q04MD7	glucuronyl hydrolase	
GIX6-1728-MONOMER	GIX6-1728	Q04IN6	orf	
GIX6-702-MONOMER	GIX6-702	Q04LA2	sensor histidine kinase CiaH	CiaH
GIX6-1024-MONOMER	GIX6-1024	Q04KF0	lipoate-protein ligase	
GIX6-1727-MONOMER	GIX6-1727	Q04IN7	orf	
GIX6-293-MONOMER	GIX6-293	Q04MD8	PTS system transporter subunit IIA	
GIX6-701-MONOMER	GIX6-701	Q04LA3	DNA-binding response regulator CiaR	CiaR
GIX6-1726-MONOMER	GIX6-1726	Q04IN8	pneumolysin	Ply
GIX6-1023-MONOMER	GIX6-1023	Q04KF1	site-specific tyrosine recombinase XerS	XerS
GIX6-1725-MONOMER	GIX6-1725	Q04IN9	orf	
GIX6-292-MONOMER	GIX6-292	Q04MD9	gluconate 5-dehydrogenase	
GIX6-700-MONOMER	GIX6-700	Q04LA4	aminopeptidase N	PepN
GIX6-1022-MONOMER	GIX6-1022	Q04KF2	orf	
GIX6-1723-MONOMER	GIX6-1723	Q04IP0	orf	
GIX6-1021-MONOMER	GIX6-1021	Q04KF3	voltage-gated chloride channel family protein	
GIX6-291-MONOMER	GIX6-291	Q04ME0	orf	
GIX6-699-MONOMER	GIX6-699	Q04LA5	orf	
GIX6-1721-MONOMER	GIX6-1721	Q04IP1	ABC transporter ATP-binding protein	
GIX6-1020-MONOMER	GIX6-1020	Q04KF4	ribonuclease HII	RnhB
GIX6-698-MONOMER	GIX6-698	Q04LA6	orf	
GIX6-290-MONOMER	GIX6-290	Q04ME1	PfkB family protein carbohydrate kinase	
GIX6-1720-MONOMER	GIX6-1720	Q04IP2	orf	
GIX6-1019-MONOMER	GIX6-1019	Q04KF5	ribosomal biogenesis GTPase	RbgA
GIX6-289-MONOMER	GIX6-289	Q04ME2	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase	Eda
GIX6-1719-MONOMER	GIX6-1719	Q04IP3	PAP2 family protein	
GIX6-697-MONOMER	GIX6-697	Q04LA7	GNAT family acetyltransferase	
GIX6-1718-MONOMER	GIX6-1718	Q04IP4	orf	
GIX6-1018-MONOMER	GIX6-1018	Q04KF6	immunoglobulin A1 protease	Iga
GIX6-287-MONOMER	GIX6-287	Q04ME3	hyaluronate lyase	
GIX6-696-MONOMER	GIX6-696	Q04LA8	MutT/nudix family protein	
GIX6-1717-MONOMER	GIX6-1717	Q04IP5	orf	
GIX6-1017-MONOMER	GIX6-1017	Q04KF7	orf	
GIX6-1716-MONOMER	GIX6-1716	Q04IP6	orf	
GIX6-695-MONOMER	GIX6-695	Q04LA9	3-ketoacyl-ACP reductase	FabG
GIX6-286-MONOMER	GIX6-286	Q04ME4	glutathione peroxidase	
GIX6-1715-MONOMER	GIX6-1715	Q04IP7	orf	
GIX6-1016-MONOMER	GIX6-1016	Q04KF8	exonuclease RexA	RexA
GIX6-694-MONOMER	GIX6-694	Q04LB0	orf	
GIX6-285-MONOMER	GIX6-285	Q04ME5	glycosyl hydrolase family protein	
GIX6-1714-MONOMER	GIX6-1714	Q04IP8	thioredoxin family protein	
GIX6-1015-MONOMER	GIX6-1015	Q04KF9	ATP-dependent exonuclease RexB	RexB
GIX6-693-MONOMER	GIX6-693	Q04LB1	oxidoreductase, aldo/keto reductase family protein	
GIX6-1014-MONOMER	GIX6-1014	Q04KG0	orf	
GIX6-284-MONOMER	GIX6-284	Q04ME6	orf	
GIX6-1713-MONOMER	GIX6-1713	Q04IP9	orf	
GIX6-692-MONOMER	GIX6-692	Q04LB2	orf	
GIX6-1712-MONOMER	GIX6-1712	Q04IQ0	short chain dehydrogenase/reductase family oxidoreductase	
GIX6-1013-MONOMER	GIX6-1013	Q04KG1	integrase/recombinase, phage integrase family protein	
GIX6-691-MONOMER	GIX6-691	Q04LB3	orf	
GIX6-283-MONOMER	GIX6-283	Q04ME7	cellobiose phosphotransferase system IIC component	CelD
GIX6-1711-MONOMER	GIX6-1711	Q04IQ1	single-stranded DNA-binding protein	
GIX6-1012-MONOMER	GIX6-1012	Q04KG2	phosphopyruvate hydratase	Eno
GIX6-1710-MONOMER	GIX6-1710	Q04IQ2	co-chaperonin GroES	
GIX6-690-MONOMER	GIX6-690	Q04LB4	orf	
GIX6-282-MONOMER	GIX6-282	Q04ME8	orf	
GIX6-1709-MONOMER	GIX6-1709	Q04IQ3	chaperonin GroEL	
GIX6-1011-MONOMER	GIX6-1011	Q04KG3	orf	
GIX6-1708-MONOMER	GIX6-1708	Q04IQ4	IS1167, transposase	
GIX6-689-MONOMER	GIX6-689	Q04LB5	methionyl-tRNA synthetase	MetG
GIX6-1010-MONOMER	GIX6-1010	Q04KG4	glycerate kinase	
GIX6-281-MONOMER	GIX6-281	Q04ME9	cellobiose phosphotransferase system IIA component	CelC
GIX6-1707-MONOMER	GIX6-1707	Q04IQ5	orf	
GIX6-1706-MONOMER	GIX6-1706	Q04IQ6	orf	
GIX6-688-MONOMER	GIX6-688	Q04LB6	orf	
GIX6-1008-MONOMER	GIX6-1008	Q04KG5	glycogen synthase	GlgA
GIX6-1705-MONOMER	GIX6-1705	Q04IQ7	recombination regulator RecX	RecX
GIX6-280-MONOMER	GIX6-280	Q04MF0	transcriptional regulator	
GIX6-1007-MONOMER	GIX6-1007	Q04KG6	glucose-1-phosphate adenylyltransferase, GlgD subunit	GlgD
GIX6-687-MONOMER	GIX6-687	Q04LB7	ABC transporter ATP-binding protein	
GIX6-1704-MONOMER	GIX6-1704	Q04IQ8	23S rRNA (uracil-5-)-methyltransferase RumA	
GIX6-279-MONOMER	GIX6-279	Q04MF1	PTS system cellobiose transporter subunit IIB	CelB
GIX6-686-MONOMER	GIX6-686	Q04LB8	orf	
GIX6-1680-MONOMER	GIX6-1680	Q04IQ9	biotin--protein ligase	
GIX6-1006-MONOMER	GIX6-1006	Q04KG7	glucose-1-phosphate adenylyltransferase	GlgC
GIX6-685-MONOMER	GIX6-685	Q04LB9	glutathione reductase	Gor
GIX6-278-MONOMER	GIX6-278	Q04MF2	orf	
GIX6-1679-MONOMER	GIX6-1679	Q04IR0	msm operon regulatory protein MsmR	MsmR
GIX6-1005-MONOMER	GIX6-1005	Q04KG8	glycogen branching protein	GlgB
GIX6-684-MONOMER	GIX6-684	Q04LC0	biotin synthase	
GIX6-277-MONOMER	GIX6-277	Q04MF3	6-phospho-beta-glucosidase	CelA
GIX6-1678-MONOMER	GIX6-1678	Q04IR1	alpha-galactosidase AgaN	Aga
GIX6-1004-MONOMER	GIX6-1004	Q04KG9	glyceraldehyde-3-phosphate dehydrogenase	GapN
GIX6-276-MONOMER	GIX6-276	Q04MF4	orf	
GIX6-1677-MONOMER	GIX6-1677	Q04IR2	sugar ABC transporter sugar-binding protein	RafE
GIX6-1003-MONOMER	GIX6-1003	Q04KH0	orf	
GIX6-683-MONOMER	GIX6-683	Q04LC1	orf	
GIX6-275-MONOMER	GIX6-275	Q04MF5	30S ribosomal protein S9	RpsI
GIX6-1676-MONOMER	GIX6-1676	Q04IR3	sugar ABC transporter permease	RafF
GIX6-1002-MONOMER	GIX6-1002	Q04KH1	pullulanase	PulA
GIX6-682-MONOMER	GIX6-682	Q04LC2	orf	
GIX6-1675-MONOMER	GIX6-1675	Q04IR4	sugar ABC transporter permease	RafG
GIX6-1001-MONOMER	GIX6-1001	Q04KH2	NAD-dependent DNA ligase LigA	LigA
GIX6-274-MONOMER	GIX6-274	Q04MF6	50S ribosomal protein L13	RplM
GIX6-1674-MONOMER	GIX6-1674	Q04IR5	orf	
GIX6-1673-MONOMER	GIX6-1673	Q04IR6	sucrose phosphorylase	GtfA
GIX6-1000-MONOMER	GIX6-1000	Q04KH3	transporter major facilitator family protein	
GIX6-681-MONOMER	GIX6-681	Q04LC3	orf	
GIX6-273-MONOMER	GIX6-273	Q04MF7	orf	
GIX6-1672-MONOMER	GIX6-1672	Q04IR7	orf	
GIX6-999-MONOMER	GIX6-999	Q04KH4	transcriptional regulator MutR	
GIX6-1671-MONOMER	GIX6-1671	Q04IR8	oligopeptide ABC transporter oligopeptide-binding protein AmiA	AmiA
GIX6-680-MONOMER	GIX6-680	Q04LC4	orf	
GIX6-272-MONOMER	GIX6-272	Q04MF8	bifunctional folate synthesis protein	SulD
GIX6-998-MONOMER	GIX6-998	Q04KH5	ABC transporter ATP-binding protein	
GIX6-1670-MONOMER	GIX6-1670	Q04IR9	oligopeptide ABC transporter permease AmiC	AmiC
GIX6-1669-MONOMER	GIX6-1669	Q04IS0	oligopeptide ABC transporter permease AmiD	AmiD
GIX6-679-MONOMER	GIX6-679	Q04LC5	tRNA (guanine-N(1)-)-methyltransferase	TrmD
GIX6-997-MONOMER	GIX6-997	Q04KH6	DNA-binding protein HU	Hup
GIX6-1668-MONOMER	GIX6-1668	Q04IS1	oligopeptide ABC transporter ATP-binding protein AmiE	AmiE
GIX6-271-MONOMER	GIX6-271	Q04MF9	GTP cyclohydrolase I	FolE
GIX6-1667-MONOMER	GIX6-1667	Q04IS2	oligopeptide ABC transporter ATP-binding protein AmiF	AmiF
GIX6-996-MONOMER	GIX6-996	Q04KH7	DegV family protein	
GIX6-678-MONOMER	GIX6-678	Q04LC6	16S rRNA-processing protein RimM	RimM
GIX6-270-MONOMER	GIX6-270	Q04MG0	folylpolyglutamate synthase	
GIX6-1665-MONOMER	GIX6-1665	Q04IS3	trehalose operon repressor	TreR
GIX6-995-MONOMER	GIX6-995	Q04KH8	orf	
GIX6-677-MONOMER	GIX6-677	Q04LC7	orf	
GIX6-269-MONOMER	GIX6-269	Q04MG1	dihydropteroate synthase	FolP
GIX6-1664-MONOMER	GIX6-1664	Q04IS4	PTS system, trehalose-specific IIABC components	
GIX6-994-MONOMER	GIX6-994	Q04KH9	bifunctional riboflavin kinase/FMN adenylyltransferase	RibF
GIX6-676-MONOMER	GIX6-676	Q04LC8	orf	
GIX6-1663-MONOMER	GIX6-1663	Q04IS5	alpha,alpha-phosphotrehalase	TreC
GIX6-268-MONOMER	GIX6-268	Q04MG2	orf	
GIX6-993-MONOMER	GIX6-993	Q04KI0	orf	
GIX6-1662-MONOMER	GIX6-1662	Q04IS6	orf	
GIX6-675-MONOMER	GIX6-675	Q04LC9	orf	
GIX6-267-MONOMER	GIX6-267	Q04MG3	xanthine/uracil permease family protein	
GIX6-1661-MONOMER	GIX6-1661	Q04IS7	glutamate racemase	MurI
GIX6-992-MONOMER	GIX6-992	Q04KI1	orf	
GIX6-1660-MONOMER	GIX6-1660	Q04IS8	orf	
GIX6-674-MONOMER	GIX6-674	Q04LD0	30S ribosomal protein S16	RpsP
GIX6-266-MONOMER	GIX6-266	Q04MG4	Cof family protein	
GIX6-991-MONOMER	GIX6-991	Q04KI2	50S ribosomal protein L27	RpmA
GIX6-1659-MONOMER	GIX6-1659	Q04IS9	orf	
GIX6-990-MONOMER	GIX6-990	Q04KI3	orf	
GIX6-673-MONOMER	GIX6-673	Q04LD1	orf	
GIX6-265-MONOMER	GIX6-265	Q04MG5	alcohol dehydrogenase	
GIX6-1658-MONOMER	GIX6-1658	Q04IT0	orf	
GIX6-1657-MONOMER	GIX6-1657	Q04IT1	site-specific tyrosine recombinase XerD	XerD
GIX6-989-MONOMER	GIX6-989	Q04KI4	50S ribosomal protein L21	RplU
GIX6-672-MONOMER	GIX6-672	Q04LD2	cyclophilin type peptidyl-prolyl cis-trans isomerase	
GIX6-264-MONOMER	GIX6-264	Q04MG6	PTS system mannose-specific transporter subunit IIAB	ManL
GIX6-1656-MONOMER	GIX6-1656	Q04IT2	segregation and condensation protein A	ScpA
GIX6-988-MONOMER	GIX6-988	Q04KI5	orf	
GIX6-671-MONOMER	GIX6-671	Q04LD3	ABC transporter ATP-binding protein	
GIX6-263-MONOMER	GIX6-263	Q04MG7	PTS system mannose-specific transporter subunit IIC	ManM
GIX6-1655-MONOMER	GIX6-1655	Q04IT3	segregation and condensation protein B	ScpB
GIX6-987-MONOMER	GIX6-987	Q04KI6	orf	
GIX6-1654-MONOMER	GIX6-1654	Q04IT4	ribosomal large subunit pseudouridine synthase B	RluB
GIX6-670-MONOMER	GIX6-670	Q04LD4	orf	
GIX6-262-MONOMER	GIX6-262	Q04MG8	PTS system, mannose/fructose/sorbose family protein, IID component	
GIX6-985-MONOMER	GIX6-985	Q04KI7	phosphotransacetylase	EutD
GIX6-1653-MONOMER	GIX6-1653	Q04IT5	orf	
GIX6-669-MONOMER	GIX6-669	Q04LD5	ribosomal RNA large subunit methyltransferase N	
GIX6-261-MONOMER	GIX6-261	Q04MG9	aminopeptidase C	PepC
GIX6-984-MONOMER	GIX6-984	Q04KI8	ribosomal large subunit pseudouridine synthase, RluD subfamily protein	
GIX6-1652-MONOMER	GIX6-1652	Q04IT6	iron-compound ABC transporter iron-compound-binding protein	
GIX6-1651-MONOMER	GIX6-1651	Q04IT7	iron-compound ABC transporter ATP-binding protein	
GIX6-668-MONOMER	GIX6-668	Q04LD6	orf	
GIX6-983-MONOMER	GIX6-983	Q04KI9	inorganic polyphosphate/ATP-NAD kinase	PpnK
GIX6-260-MONOMER	GIX6-260	Q04MH0	ribosomal small subunit pseudouridine synthase A	
GIX6-1650-MONOMER	GIX6-1650	Q04IT8	iron-compound ABC transporter permease	
GIX6-982-MONOMER	GIX6-982	Q04KJ0	pyrophosphokinase family protein	
GIX6-667-MONOMER	GIX6-667	Q04LD7	superoxide dismutase, manganese-dependent	SodA
GIX6-259-MONOMER	GIX6-259	Q04MH1	orf	
GIX6-1649-MONOMER	GIX6-1649	Q04IT9	iron-compound ABC transporter permease	
GIX6-981-MONOMER	GIX6-981	Q04KJ1	orf	
GIX6-666-MONOMER	GIX6-666	Q04LD8	DNA polymerase III subunit delta	HolA
GIX6-1648-MONOMER	GIX6-1648	Q04IU0	NAD-dependent epimerase/dehydratase family protein	
GIX6-258-MONOMER	GIX6-258	Q04MH2	aminopeptidase PepS	PepS
GIX6-1647-MONOMER	GIX6-1647	Q04IU1	glutamyl aminopeptidase PepA	PepA
GIX6-980-MONOMER	GIX6-980	Q04KJ2	ribose-phosphate pyrophosphokinase	
GIX6-665-MONOMER	GIX6-665	Q04LD9	dihydroorotate dehydrogenase 1A	
GIX6-1646-MONOMER	GIX6-1646	Q04IU2	orf	
GIX6-979-MONOMER	GIX6-979	Q04KJ3	class V aminotransferase	
GIX6-257-MONOMER	GIX6-257	Q04MH3	orf	
GIX6-664-MONOMER	GIX6-664	Q04LE0	S-adenosylmethionine synthetase	MetK
GIX6-1645-MONOMER	GIX6-1645	Q04IU3	transcriptional regulator, MarR family protein	
GIX6-978-MONOMER	GIX6-978	Q04KJ4	orf	
GIX6-1644-MONOMER	GIX6-1644	Q04IU4	orf	
GIX6-663-MONOMER	GIX6-663	Q04LE1	ATP-dependent RNA helicase	
GIX6-256-MONOMER	GIX6-256	Q04MH4	orf	
GIX6-977-MONOMER	GIX6-977	Q04KJ5	orf	
GIX6-1643-MONOMER	GIX6-1643	Q04IU5	choline transporter	ProV
GIX6-662-MONOMER	GIX6-662	Q04LE2	orf	
GIX6-1642-MONOMER	GIX6-1642	Q04IU6	choline transporter	glycine betaine transport system permease
GIX6-976-MONOMER	GIX6-976	Q04KJ6	redox-sensing transcriptional repressor Rex	
GIX6-255-MONOMER	GIX6-255	Q04MH5	orf	
GIX6-1640-MONOMER	GIX6-1640	Q04IU7	nicotinamide mononucleotide transporter PnuC	PnuC
GIX6-661-MONOMER	GIX6-661	Q04LE3	PTS system transporter subunit IIABC	
GIX6-975-MONOMER	GIX6-975	Q04KJ7	class I glutamine amidotransferase	
GIX6-1639-MONOMER	GIX6-1639	Q04IU8	transcriptional regulator, TetR family protein	
GIX6-1638-MONOMER	GIX6-1638	Q04IU9	cation efflux system protein	
GIX6-974-MONOMER	GIX6-974	Q04KJ8	DNA repair protein RadC	RadC
GIX6-660-MONOMER	GIX6-660	Q04LE4	cell division ABC transporter permease FtsX	FtsX
GIX6-254-MONOMER	GIX6-254	Q04MH6	DNA polymerase III PolC	PolC
GIX6-1637-MONOMER	GIX6-1637	Q04IV0	transcriptional regulator, MerR family protein	
GIX6-973-MONOMER	GIX6-973	Q04KJ9	ATP-dependent DNA helicase PcrA	PcrA
GIX6-1636-MONOMER	GIX6-1636	Q04IV1	zinc-containing alcohol dehydrogenase	
GIX6-659-MONOMER	GIX6-659	Q04LE5	cell division ATP-binding protein FtsE	FtsE
GIX6-1635-MONOMER	GIX6-1635	Q04IV2	galactose operon repressor	GalR
GIX6-972-MONOMER	GIX6-972	Q04KK0	orf	
GIX6-253-MONOMER	GIX6-253	Q04MH7	elongation factor G	FusA
GIX6-1634-MONOMER	GIX6-1634	Q04IV3	galactokinase	GalK
GIX6-971-MONOMER	GIX6-971	Q04KK1	orf	
GIX6-658-MONOMER	GIX6-658	Q04LE6	peptide chain release factor 2	PrfB
GIX6-1633-MONOMER	GIX6-1633	Q04IV4	galactose-1-phosphate uridylyltransferase	
GIX6-1632-MONOMER	GIX6-1632	Q04IV5	orf	
GIX6-970-MONOMER	GIX6-970	Q04KK2	methionine aminopeptidase	Map
GIX6-252-MONOMER	GIX6-252	Q04MH8	30S ribosomal protein S7	RpsG
GIX6-1631-MONOMER	GIX6-1631	Q04IV6	Dam-replacing family protein	
GIX6-657-MONOMER	GIX6-657	Q04LE7	acetoin utilization protein AcuB	
GIX6-1630-MONOMER	GIX6-1630	Q04IV7	orf	
GIX6-969-MONOMER	GIX6-969	Q04KK3	orf	
GIX6-1629-MONOMER	GIX6-1629	Q04IV8	xanthine permease	PbuX
GIX6-656-MONOMER	GIX6-656	Q04LE8	branched-chain amino acid ABC transporter ATP-binding protein	LivF
GIX6-251-MONOMER	GIX6-251	Q04MH9	30S ribosomal protein S12	RpsL
GIX6-1628-MONOMER	GIX6-1628	Q04IV9	xanthine phosphoribosyltransferase	Xpt
GIX6-968-MONOMER	GIX6-968	Q04KK4	GNAT family acetyltransferase	
GIX6-1626-MONOMER	GIX6-1626	Q04IW0	exodeoxyribonuclease III	Xth
GIX6-655-MONOMER	GIX6-655	Q04LE9	branched-chain amino acid ABC transporter ATP-binding protein	LivG
GIX6-1625-MONOMER	GIX6-1625	Q04IW1	orf	
GIX6-967-MONOMER	GIX6-967	Q04KK5	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
GIX6-250-MONOMER	GIX6-250	Q04MI0	pullulanase, extracellular	
GIX6-1624-MONOMER	GIX6-1624	Q04IW2	orf	
GIX6-654-MONOMER	GIX6-654	Q04LF0	branched-chain amino acid ABC transporter permease	LivM
GIX6-1623-MONOMER	GIX6-1623	Q04IW3	orf	
GIX6-965-MONOMER	GIX6-965	Q04KK6	orf	
GIX6-1622-MONOMER	GIX6-1622	Q04IW4	ABC transporter ATP-binding protein/permease	
GIX6-249-MONOMER	GIX6-249	Q04MI1	orf	
GIX6-1621-MONOMER	GIX6-1621	Q04IW5	ABC transporter ATP-binding protein/permease	
GIX6-653-MONOMER	GIX6-653	Q04LF1	branched-chain amino acid ABC transporter permease	LivH
GIX6-964-MONOMER	GIX6-964	Q04KK7	GTPase ObgE	ObgE
GIX6-1620-MONOMER	GIX6-1620	Q04IW6	glycosyl transferase family protein	
GIX6-248-MONOMER	GIX6-248	Q04MI2	glucosamine--fructose-6-phosphate aminotransferase	GlmS
GIX6-1619-MONOMER	GIX6-1619	Q04IW7	capsular polysaccharide biosynthesis protein	
GIX6-652-MONOMER	GIX6-652	Q04LF2	branched-chain amino acid ABC transporter substrate-binding protein	LivJ
GIX6-963-MONOMER	GIX6-963	Q04KK8	orf	
GIX6-1618-MONOMER	GIX6-1618	Q04IW8	orf	
GIX6-247-MONOMER	GIX6-247	Q04MI3	glycosyl hydrolase family protein	
GIX6-1617-MONOMER	GIX6-1617	Q04IW9	cell wall surface anchor family protein	
GIX6-962-MONOMER	GIX6-962	Q04KK9	orf	
GIX6-651-MONOMER	GIX6-651	Q04LF3	orf	
GIX6-1616-MONOMER	GIX6-1616	Q04IX0	orf	
GIX6-246-MONOMER	GIX6-246	Q04MI4	prolyl-tRNA synthetase	ProS
GIX6-1615-MONOMER	GIX6-1615	Q04IX1	orf	
GIX6-961-MONOMER	GIX6-961	Q04KL0	group 1 glycosyl transferase	
GIX6-650-MONOMER	GIX6-650	Q04LF4	ATP-dependent Clp protease proteolytic subunit	ClpP
GIX6-1614-MONOMER	GIX6-1614	Q04IX2	phosphate transport system regulatory protein PhoU	
GIX6-1613-MONOMER	GIX6-1613	Q04IX3	galactose-1-phosphate uridylyltransferase	
GIX6-960-MONOMER	GIX6-960	Q04KL1	glycosyl transferase CpoA	CpoA
GIX6-245-MONOMER	GIX6-245	Q04MI5	zinc metalloprotease Eep	Eep
GIX6-649-MONOMER	GIX6-649	Q04LF5	uracil phosphoribosyltransferase	Upp
GIX6-1612-MONOMER	GIX6-1612	Q04IX4	UDP-glucose 4-epimerase	
GIX6-959-MONOMER	GIX6-959	Q04KL2	orf	
GIX6-1611-MONOMER	GIX6-1611	Q04IX5	orf	
GIX6-648-MONOMER	GIX6-648	Q04LF6	cytidine and deoxycytidylate deaminase family protein	
GIX6-1610-MONOMER	GIX6-1610	Q04IX6	orf	
GIX6-244-MONOMER	GIX6-244	Q04MI6	phosphatidate cytidylyltransferase	CdsA
