GIX6-958-MONOMER	GIX6-958	Q04KL3	RNA polymerase sigma factor RpoD	RpoD
CPLXIX6-1			predicted ABC transporter of a maltodextrin	
CPLXIX6-2			predicted ABC transporter of ZN+2	
CPLXIX6-3			predicted ABC transporter of CO+2	
CPLXIX6-4			predicted ABC transporter of Fe3+	
CPLXIX6-5			predicted transporter of D-mannose	
CPLXIX6-6			predicted transporter of MANNITOL	
CPLXIX6-7			predicted transporter of lactose	
CPLXIX6-8			predicted ABC transporter of spermidine/putrescine	
CPLXIX6-9			predicted ABC transporter of phosphate	
CPLXIX6-10			predicted ATP-driven transporter of phosphate	
CPLXIX6-11			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-12			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-13			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-14			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-15			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-16			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-17			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-18			predicted ABC transporter of a standard alpha amino acid	
CPLXIX6-19			predicted ABC transporter of an oligopeptide	
CPLXIX6-20			predicted ABC transporter of an oligopeptide	
CPLXIX6-21			predicted ABC transporter of MN+2	
CPLXIX6-22			predicted ABC transporter of a sugar	
CPLXIX6-23			predicted ABC transporter of a sugar	
CPLXIX6-24			predicted ABC transporter of a sugar	
GIX6-771-MONOMER	GIX6-771	Q04L42	lactose phosphotransferase system repressor	
GIX6-1112-MONOMER	GIX6-1112	Q04K66	orf	
GIX6-302-MONOMER	GIX6-302	Q04MC9	orf	
GIX6-1743-MONOMER	GIX6-1743	Q04IM2	orf	
GIX6-1832-MONOMER	GIX6-1832	Q04IE9	PTS system transporter subunit IIB	
GIX6-1111-MONOMER	GIX6-1111	Q04K67	orf	
GIX6-710-MONOMER	GIX6-710	Q04L94	septation ring formation regulator EzrA	EzrA
GIX6-1033-MONOMER	GIX6-1033	Q04KE1	orf	
GIX6-768-MONOMER	GIX6-768	Q04L43	orf	
GIX6-1742-MONOMER	GIX6-1742	Q04IM3	GNAT family acetyltransferase	
GIX6-361-MONOMER	GIX6-361	Q04M77	transcriptional regulator	
GIX6-1110-MONOMER	GIX6-1110	Q04K68	orf	
GIX6-301-MONOMER	GIX6-301	Q04MD0	sugar binding transcriptional regulator RegR	RegR
GIX6-1831-MONOMER	GIX6-1831	Q04IF0	PTS system transporter subunit IIC	
GIX6-1741-MONOMER	GIX6-1741	Q04IM4	transcriptional regulator	
GIX6-767-MONOMER	GIX6-767	Q04L44	D-alanyl-D-alanine carboxypeptidase	DacC
GIX6-709-MONOMER	GIX6-709	Q04L95	DNA gyrase subunit B	GyrB
GIX6-1032-MONOMER	GIX6-1032	Q04KE2	uracil-DNA glycosylase	Ung
GIX6-1109-MONOMER	GIX6-1109	Q04K69	endonuclease	
GIX6-360-MONOMER	GIX6-360	Q04M78	PTS system mannitol-specific transporter subunit IIBC	MtlA
GIX6-1740-MONOMER	GIX6-1740	Q04IM5	competence damage-inducible protein A	CinA
GIX6-1830-MONOMER	GIX6-1830	Q04IF1	glycosyl hydrolase family protein	
GIX6-766-MONOMER	GIX6-766	Q04L45	FeS assembly protein SufB	SufB
GIX6-1108-MONOMER	GIX6-1108	Q04K70	orf	
GIX6-708-MONOMER	GIX6-708	Q04L96	hydrolase	
GIX6-300-MONOMER	GIX6-300	Q04MD1	orf	
GIX6-1739-MONOMER	GIX6-1739	Q04IM6	recombinase A	RecA
GIX6-1031-MONOMER	GIX6-1031	Q04KE3	Mutator mutT protein, 8-oxo-dGTPase	MutX, 7,8-dihydro-8-oxoguanine-triphosphatase
GIX6-359-MONOMER	GIX6-359	Q04M79	orf	
GIX6-1107-MONOMER	GIX6-1107	Q04K71	guanosine 5'-monophosphate oxidoreductase	GuaC
GIX6-765-MONOMER	GIX6-765	Q04L46	SUF system FeS assembly protein, NifU family protein	
GIX6-1738-MONOMER	GIX6-1738	Q04IM7	MATE efflux family protein DinF	DinF
GIX6-299-MONOMER	GIX6-299	Q04MD2	orf	
